     288 WR     0x00BF8 = 0x00000002
     289 ORACLE 0x11EF8 = 0x00000000
     290 WR     0x11EF8 = 0x00000002
     291 ORACLE 0x11B00 = 0x00010000
     292 WR     0x11B00 = 0x02010000
     293 ORACLE 0x11A44 = 0x00000015
     294 WR     0x11A44 = 0x00000011
     295 ORACLE 0x119F4 = 0x00000000
     296 WR     0x119F4 = 0x00000001
     297 ORACLE 0x11CD0 = 0x00003000
     298 WR     0x11CD0 = 0x00003001
     299 WR     0x11BD8 = 0x00000001
     300 ORACLE 0x11ED8 = 0x00000000
     301 WR     0x11ED8 = 0x00010000
     302 WR     0x11CC4 = 0x04000800
     303 ORACLE 0x11F14 = 0x00000000
     304 WR     0x11F14 = 0x00000006
     305 ORACLE 0x11E18 = 0x00000003
     306 WR     0x11E18 = 0x00000004
     307 ORACLE 0x11E70 = 0x00400110
     308 WR     0x11E70 = 0x00400310
     309 ORACLE 0x11E70 = 0x00400310
     310 WR     0x11E70 = 0x00400310
     311 ORACLE 0x11E70 = 0x00400310
     312 ORACLE 0x11DF0 = 0x00006260
     313 WR     0x11DF0 = 0x00006260
     314 ORACLE 0x11EA4 = 0x00000000
     315 WR     0x11EA4 = 0x00000000
     316 ORACLE 0x05DD4 = 0x00000000
     317 WR     0x05DD4 = 0x00000000
     318 ORACLE 0x05DD8 = 0x30000010
     319 ORACLE 0x00BFC = 0x00000000
     320 WR     0x00BFC = 0x00000002
     321 ORACLE 0x12AF8 = 0x00000000
     322 WR     0x12AF8 = 0x00000002
     323 ORACLE 0x12700 = 0x00010000
     324 WR     0x12700 = 0x02010000
     325 ORACLE 0x12644 = 0x00000015
     326 WR     0x12644 = 0x00000011
     327 ORACLE 0x125F4 = 0x00000000
     328 WR     0x125F4 = 0x00000001
     329 ORACLE 0x128D0 = 0x00003000
     330 WR     0x128D0 = 0x00003001
     331 WR     0x127D8 = 0x00000001
     332 ORACLE 0x12AD8 = 0x00000000
     333 WR     0x12AD8 = 0x00010000
     334 WR     0x128C4 = 0x04000800
     335 ORACLE 0x12B14 = 0x00000000
     336 WR     0x12B14 = 0x00000006
     337 ORACLE 0x12A18 = 0x00000003
     338 WR     0x12A18 = 0x00000004
     339 ORACLE 0x12A70 = 0x00400110
     340 WR     0x12A70 = 0x00400310
     341 ORACLE 0x12A70 = 0x00400310
     342 WR     0x12A70 = 0x00400310
     343 ORACLE 0x12A70 = 0x00400310
     344 ORACLE 0x129F0 = 0x00006260
     345 WR     0x129F0 = 0x00006260
     346 ORACLE 0x12AA4 = 0x00000000
     347 WR     0x12AA4 = 0x00000000
     348 ORACLE 0x067D4 = 0x01010100
     349 WR     0x067D4 = 0x01010100
     350 ORACLE 0x067D4 = 0x01010100
     351 WR     0x067D4 = 0x01010101
     352 ORACLE 0x06790 = 0x00000004
     353 WR     0x06790 = 0x00000004
     354 ORACLE 0x067D0 = 0x000001E6
     355 WR     0x067D0 = 0x00000000
     356 ORACLE 0x067CC = 0x00000000
     357 WR     0x067CC = 0x00000701
     358 ORACLE 0x004A0 = 0x00000000
     359 WR     0x004A0 = 0x00000000
     360 ORACLE 0x067F8 = 0x00700255
     361 WR     0x067F8 = 0x00700251
     362 WR     0x067F4 = 0x00201C02
     363 WR     0x00100 = 0x0000021E
     364 ORACLE 0x00104 = 0x00001CCF
     365 ORACLE 0x00178 = 0x02000013
     366 ORACLE 0x067F4 = 0x00201C02
     367 WR     0x067F4 = 0x00201C02
     368 ORACLE 0x067F4 = 0x00201C02
     369 WR     0x067F4 = 0x00201C02
     370 WR     0x06220 = 0x000D0000
     371 WR     0x06224 = 0x00001C00
